address,TORI
cosmos13vyvwfc5es7wx723z5j0xtgagy4k42s67q8mhm,20440
cosmos1a848jpm7ft0ug9p5gq0v26t7zuyme9afqxxju4,16800
cosmos1aakg8cq30w03xn3gldaf9mh04sr6wume3xc6nk,11200
cosmos1zky8eltuamjhm82qp8ldmvzg6tntpcmz4nmmea,2400
cosmos1xz4kdpwygkf8pcqzpgjhefx858m9nq8ve6l4mh,2400
cosmos1ujfw5kwyy9azpugpkatsc384sxj2244sauegxa,2400
cosmos1en69twaxmv7xupy8lq7y539dpecx7yz8tuz5hv,2400
cosmos1c2ypfu4pfn2y4nvduljkmx9493wu9dy958whdw,2400
cosmos1wk6ah5kpjgyhgqqyxykssarg60jrdlv895wh4n,1680
cosmos1tskczmq4we6kletfzayjf4gsdlwqv8lt0ynn8j,1680
cosmos1rfu9u3d0f0e8mnfs0l5gpthf9kh8s3809ml92y,1680
cosmos1krz79gp5ags3lcxdls7pf3lqrp9hgl9033fkkt,1680
cosmos1gjgjsh74w5trmfaaauq4qt2mwvh8p7gs23n2d7,1680
cosmos1c4z34d2g2tuxv4tk30zpgsu8w6ewcnxy4l9r3p,1680
cosmos17cd55etqcmgls2xkp64nah3c2m2jdvpsly8njq,1680
cosmos15l9q5vw33u26jn48kdnyssxv8rprgesmqck0rg,1680
cosmos14mrcusnnxdym72flmd8x5st4jvrhadu0t2eqr4,1680
cosmos1088zdc7lxqvh7mwyv46cr6s3asydvwe2r9htnk,1680
cosmos1zlvkhekhwcyx90z4265k275dfhxe20e3jsdfgn,1306
cosmos1z5uf8jd5axyxhpxk97qtlvgklw5qsrmms6q8gx,1306
cosmos1yh5tfl6t5lyyl5hj05rwv7fpn07qyt4flc2qgh,1306
cosmos1we7n7caqkkqznt04xatyyrfayy042vtpqtupaj,1306
cosmos1w34mzcw8tllrrj7js57jjrzxhg5tzapfpe9vnv,1306
cosmos1twkn26js963hg48t63lyuaj9u63s468sq2p0j7,1306
cosmos1tvv20zlkucwl8aa774sprxxqxhgrlwrvrp68fs,1306
cosmos1tl3ylq6m9aj6w4ywqz97mzp0eaf3fy5qyre6ex,1306
cosmos1s4z8wt477mwev7uewj8qjdfjhnsuujzwz8efpx,1306
cosmos1qtzrzh28a9nt78d3fm2fkkxhmjvaruelqs734y,1306
cosmos1qkw7sqzsphspz2flgjz253nge0u3e6fmpak9gy,1306
cosmos1n9upr3fz82lu54v2tmwvy978f782qpyyfayqqm,1306
cosmos1lsuqj2t83qvfzajd3ejju6nqlv6xpezv7l3ste,1306
cosmos1lcdq2vmp5fcy3rkhv2sdp6d00ktt2zgeg6jr86,1306
cosmos1j8t72m3zf7rqye3t7kf0mez539rcmfcvhlp4tt,1306
cosmos1j30w2ykckc5d2m7lzfj8fnluuf7jw2dgkwycfv,1306
cosmos1h0unr6dceuq0grqknq3ps8z5r0m89uq06qdptf,1306
cosmos1er3936tlkf9kffy0cf2l4mtnjw4ylpatc288jg,1306
cosmos1ed969y7wepmnc8ngz3kugtulhm06dcxmrhn0zt,1306
cosmos1dzsvzasje88mjq9lh4c5d3af9440htxzlarqh4,1306
cosmos1cl5fz9cgjar0qj8e3zhr7t77fs3dcwf7s6dxx2,1306
cosmos19t6kxd4mmkawxtmejxjt3x597xtdevufh549h9,1306
cosmos19hrvenhuwrxef5vpyzpyda8q093zwtf9w7q0c0,1306
cosmos16p777gm8ugeg6q0x4pey0f0wxe3xffrglj4d0w,1306
cosmos15435wml3xku4x47vgw2en8xjk4j3g6ggn5nyxj,1306
