address,value
0x55d8E73064ADfBb53A00aDD959a32F079CDe1810,300
0x1b0E573736c8c9c08fe4871A58b5deFAa0010a58,900
0xA629f1DA8F315C44d4c5DB8D99367747a0585ed8,3000
0x5449209b61b472124708100f699e36d2217154c5,7500
0x11A7DCF5beb6c04e6aE72c74870c6ca3F0D1AFd9,300
0xC41d28cE0089C9b9015D2C3672bb7486C30B77b2,900
0xb43904a96E12361f8D04BE5f210CECf95c0A770a,300
0x68Cdcee27963A994a02e240537b4DF93De47df6c,4500
0xFA4f2D578EA496589AC63F6479B3e26618B34d29,3900
0x38b5027e17d1e7d09aD263fA1f6d0BC301B09789,900
0xf2199F2e6dD36c4b0CD2406b17acEBd17781dD97,1800
0xEbA6cFfB7BFe7B859A9E2E8eBD965656d5a21F36,1200
0x10DbF82A8bb191bd1c082de5Ef915E998Aa5CCD7,300
0x71295519e1Ec4725fd54F94A8d278d9a4700a038,2700
0x48a2f743483daC0bb8973a22a3A7E55aD35022F3,600
0x7D2321D89161E4fDC8A25Dc429943cB18BD78CEa,28500
0x071F153D7f27c059365846802F6727182b250A28,1200
0x95b025DEc54B94aDf7982f9893485814723725af,300
0x3b0956d1976a25713A440b22059766ddb0C40246,300
0x34d4ECD77D6378EbddA1C62A38881E4587109181,300
0xB79f071e80704850B68C9ae359a81BfC9907cEef,7800
0xd418306A02dA29cA02865BdA7ECDCde8b01068bf,600
0x70cC6272AE3cBc0abb638FCfa9BA29efce1e80fD,900
0x3Bb8d70932685E75fb11c166b2c30F5B0a0c959e,300
0xf60dAC7f2C1F9BD2679c08Dc352A5BD28E9fcff4,300
0xb69FE20b8B1Ad52669c8bdB56b823F70AbB59EdD,300
0x56ed583ed2a7EBbcC120587C7aA311B16675c338,600
0xF205e0E0C13E0b598e02058Ea7632EBF2a5bCd60,9300
0x7a1F36CD575FC2BbE5b3C87f943dE8A4BFC7e8D1,300
0xe4D7bA2CCd23d29eD74323685e0a5D825a7548fd,1500
0x8e9d93480aE6e08eB7f2D36d326716C9314dAd40,600
0x8aD959f380c429EeA626034577DC62eD5DD99B58,900
0xd8636A32909Cb33Db7FC8BFa03a8E5C1fb96BECB,600
0x1Db66cB560a735EC7Ca6F5a886C7E71456037cD5,900
0xb6dD3d152f215013744B873291a712A177A16988,300
0x3564dAF8aaD3DF917141FDFDb96Cb37C4A234Da8,600
0x11E474D28550cE67738951381bf23262031FAD57,17700
0x7a8A2395870F6237c920224f3DB5f0f50D4B2Eb5,300
0x33AA887cd070EeBa4ee3B60372Cbbf8E2F793C82,300
0xa175809FFE3a32ABe1d5564E2c69573a40F3aAC8,1500
0xc8728Ae130381EB77Fc9a8b715564B00e83E19Df,6000
0x8dDc0B615163be69A632b7A5F85841BCFd228399,600
0x78366a722EDD130CA1b05b269bF3c0E50239c9A1,600
0x8BA23B0963b3C78A3d59ee4b7E45B2bC092ba4E0,600
0xEB413e059F891e003c19333889F3a8480AC9dBD1,4500
0x41F0856c2214CE3B2B21e9F832808a9152052D72,300
0x86ee031943A11c064a151b72926724729Bd4f203,300
0xC781C2466E39B6D0F6D7E92ED8417f61535F95cf,300
0x6652f183fa907b678C30ec253383d7c7F9684Acb,600
0x2373812E8A9B47B0d530cB065a930b9EEbae4E3f,2100
0x0FE3940242626D87a5702DC11c403162F0958054,5400
0x5C127CcDD428AC57A1ffF2ec4BC1cD00dbBC9Eed,1800
0x89238Ef8D5227AB95F9E791b0C6258AD6Ef7645b,300
0x9dd711B0cB4430F429231E5Cb9940DBD1952a36f,600
0x7EfD98f01A75Eba9E9E2e51abB94b74d0f03adFc,600
0xa471D138c7825048049B268a02CbBdC952d0fF91,300
0x1D904c5fF057C8ca8cD88EBf55e4D8d53b423FdF,600
0xFA4B47D26a8Ec5B50c2d118c1d20058E7210512C,300
0xDdD7147Ff6Cff7E26628dB8A7b238aE6BFE167f5,300
0xc5845a0553e416e1fA33e542fb5116C1BaBDB900,2400
0x16b351E397a438eD065f8a67E59e56C1f99d7A27,300
0x2D7Fc0F6DFE57fA4f87fd220db8AF63fA92cBEED,16200
0x82554493F761e8477e0E0D8Cc133ec8F24e9cFc1,300
0xa48Ef4A1dd77AAE310ac293A2d29e1DF363E212f,900
0x55fFf41e162cAB05a26CCA12B84Edf67C6768cfd,300
0x4dCD8D4EaeC309FE4B81f8f9317550871C0E0C3c,300
0x49BC090068F977a94B584114DddA893301D304e1,300
0x156AC784BaE328f6aFb6403460145BA8B029d3b5,900
0x724fa56d072442341168f617C470258851fF43aB,300
0x97d6E7f4694C13A2Fdf0104fcd62e4b1031930e2,300
0xc09D1aA3a4Ded479FE9bF76cD4DDbe0C5279c6D2,3600
0xB17a97eefcC3519783EFc8Fc503222d55262A5F2,600
0x73C8Eb2938D6b610A419ed8be89806c34854c8ba,300
0xb9843Ca1c445d6f7c5F833f2Fa105f1FF4818008,900
0xa86b6B036D8f9aE6609d2431f4755BF18fbA089b,300
0xfe72c5B79E0d59d8800f583035F339aA5341b789,300
0x8974F73C4Bd75Db1C96A8fBfc8bE59FA45A588D0,300
0x11593CCeB8aa98E760355338f0845323f10d2882,2400
0x8449ddF160015725CC3549A2e1DC586c955B7180,300
